pred_target,year,rmse,mae,directional_accuracy (%),spearman
1,2015,0.0202580115156901,0.0134181175380945,48.28,0.0885296441016434
1,2016,0.0310225357429783,0.0249402187764644,48.71,0.0419180493917803
1,2017,0.014407600512946,0.010164925828576,48.05,0.015137561089585
1,2018,0.0239827611276177,0.017076950520277,57.58,0.1163165170661422
1,2019,0.0138746245222055,0.0103066330775618,53.45,0.0532790429934132
1,2020,0.0259231019057391,0.0197816658765077,46.35,0.0202885516634221
1,2021,0.0160997489256516,0.012258761562407,56.9,0.084987382012689
1,2022,0.0340491646699865,0.025712227448821,50.22,0.0912342530033684
5,2015,0.0470363205334055,0.0353751517832279,34.48,0.0934105852708782
5,2016,0.0866662924637915,0.0749656111001968,49.14,0.1638214530770398
5,2017,0.0402938568592429,0.0320126675069332,44.59,-0.0404700247278957
5,2018,0.0523715251564256,0.0392848439514637,59.31,0.0896473841001577
5,2019,0.0453671051346202,0.0363330990076065,47.41,-0.0035758972417252
5,2020,0.0734893696811381,0.0606821700930595,35.62,-0.1409668226302827
5,2021,0.0353089071287961,0.0279003754258155,57.33,0.2220064233531748
5,2022,0.0792352053708403,0.0618908703327178,51.95,0.1361961876204755
10,2015,0.0736156384148123,0.0576167255640029,34.91,-0.0442657830551866
10,2016,0.1185673028245115,0.0975191667675972,53.45,0.1866266119951205
10,2017,0.066873101470416,0.0523102097213268,45.89,0.0222677622227847
10,2018,0.0817204588142489,0.0671183094382286,58.01,-0.0768570260324383
10,2019,0.047022252952973,0.0368723459541797,61.21,0.1648314686645306
10,2020,0.0986127691393508,0.0806071460247039,37.34,-0.0094299169332468
10,2021,0.0545418643629243,0.0437983572483062,56.03,0.1841120992371546
10,2022,0.1047634632021255,0.0805230513215065,58.44,0.0927607624759049
15,2015,0.0908299717842532,0.0702641531825065,32.76,-0.0914751224800062
15,2016,0.1175040777049252,0.0963739231228828,58.62,0.3583027894112695
15,2017,0.0594792255913787,0.0459121763706207,37.66,-0.0289111937537724
15,2018,0.1130064104878668,0.0926763489842414,61.9,-0.0764685838898732
15,2019,0.0669748631422738,0.0554308108985424,44.83,-0.1103809613503264
15,2020,0.1141798902999846,0.0953406989574432,33.05,0.1037850586096849
15,2021,0.0611457128593995,0.048646006733179,56.9,0.1490729190891984
15,2022,0.1317240346072461,0.1040897294878959,56.28,0.0258756985143791
20,2015,0.1087550277822032,0.0857959017157554,31.9,-0.1861119493204737
20,2016,0.1408987691783887,0.1257196068763733,50.0,0.4312007365137451
20,2017,0.0920485587026773,0.075233444571495,41.99,0.126886232208571
20,2018,0.1237668326458251,0.0960279926657676,64.94,-0.1180601257812652
20,2019,0.0845892933343398,0.0703992843627929,50.86,0.0554422638187622
20,2020,0.1671573925984816,0.1442111432552337,33.48,0.1546563298080243
20,2021,0.0772529479649837,0.0650889724493026,55.6,-0.0132080439909358
20,2022,0.1600403657207914,0.130785197019577,51.95,0.0185897311084717
25,2015,0.1238592969004612,0.099680446088314,28.88,-0.4917074933354347
25,2016,0.1802830363949012,0.1577832400798797,51.72,0.5301207598084909
25,2017,0.1299193123033095,0.1063177734613418,35.93,0.0289754473412644
25,2018,0.1452044326138808,0.1165217757225036,64.07,-0.1098210634942269
25,2019,0.0847903929619799,0.0653978735208511,64.66,0.2759639354281946
25,2020,0.1883971585636281,0.1651591360569,30.04,0.2538440667418024
25,2021,0.0801759012432803,0.06918366253376,45.69,-0.0504152499860654
25,2022,0.1823708203446644,0.1499925851821899,46.32,-0.083500457563426
30,2015,0.1239551333574042,0.0983829572796821,74.14,-0.5356465349065614
30,2016,0.2492071782836738,0.2117802500724792,52.16,0.5205453123168085
30,2017,0.1283833199523914,0.1089846938848495,38.53,0.0734486652777507
30,2018,0.1846711725837613,0.1527173221111297,62.34,-0.2256352343308865
30,2019,0.0870041701599237,0.0697454735636711,61.64,0.3655256982177212
30,2020,0.1891021722359412,0.1682744920253753,37.34,0.4249088314871946
30,2021,0.0765393270729587,0.0608201995491981,58.19,0.2155926802219535
30,2022,0.1944920473544536,0.1628784239292144,51.08,0.0406442882454876
